PatriciaTrie Benchmark (en nanoseconde)
________________________________________________________________________________
file                 | build      | insert | search | delete | fusion | nbword | deep  
lll.txt              | 60158387   | 97607  | 21310  | 18158  | 73240  | 3637   | 9     
comedy_errors.txt    | 30828771   | 9626   | 8974   | 5090   | 69606  | 2438   | 9     
richardii.txt        | 40348389   | 10544  | 7622   | 4548   | 17864  | 3513   | 9     
twelfth_night.txt    | 37910475   | 26658  | 25174  | 22286  | 58942  | 3030   | 10    
merchant.txt         | 31662609   | 8439   | 8851   | 6290   | 14425  | 3160   | 9     
merry_wives.txt      | 36051138   | 41725  | 8727   | 6371   | 13764  | 3188   | 9     
henryv.txt           | 37330309   | 8890   | 9749   | 7000   | 15736  | 4393   | 10    
1henryiv.txt         | 36286181   | 10872  | 8540   | 6038   | 13234  | 3723   | 9     
2henryiv.txt         | 33863083   | 9354   | 9559   | 6408   | 14089  | 3963   | 10    
1henryvi.txt         | 34660882   | 24048  | 15093  | 6288   | 15346  | 3725   | 9     
3henryvi.txt         | 42945457   | 6891   | 8627   | 5857   | 13398  | 3448   | 9     
measure.txt          | 25637238   | 7733   | 8691   | 6518   | 15188  | 3229   | 9     
othello.txt          | 33100723   | 8314   | 8850   | 6166   | 13775  | 3665   | 9     
taming_shrew.txt     | 37049511   | 5877   | 8590   | 6540   | 34292  | 3149   | 9     
tempest.txt          | 17955945   | 19258  | 7521   | 4659   | 13692  | 3084   | 9     
macbeth.txt          | 9685622    | 11288  | 12223  | 11339  | 13843  | 3204   | 9     
asyoulikeit.txt      | 12434415   | 3797   | 8788   | 5691   | 13590  | 3170   | 10    
allswell.txt         | 27530014   | 8522   | 9704   | 6441   | 16105  | 3388   | 9     
hamlet.txt           | 18945840   | 3867   | 25312  | 6402   | 16437  | 4554   | 9     
julius_caesar.txt    | 14094816   | 3102   | 44731  | 5437   | 13891  | 2793   | 9     
much_ado.txt         | 13250183   | 4658   | 6783   | 5894   | 19631  | 2907   | 10    
coriolanus.txt       | 21965026   | 5222   | 5145   | 28218  | 20585  | 3883   | 10    
romeo_juliet.txt     | 16064874   | 3769   | 6028   | 7383   | 34772  | 3545   | 9     
timon.txt            | 11839156   | 3851   | 4535   | 5588   | 13831  | 3187   | 10    
winters_tale.txt     | 16359768   | 4786   | 5530   | 5756   | 13740  | 3714   | 9     
pericles.txt         | 11366084   | 3340   | 4090   | 5486   | 11625  | 3144   | 9     
john.txt             | 13917211   | 4284   | 5177   | 5831   | 13650  | 3437   | 10    
2henryvi.txt         | 15594439   | 3727   | 6107   | 6523   | 42992  | 3935   | 10    
richardiii.txt       | 21512564   | 4631   | 5503   | 6019   | 79156  | 3896   | 9     
henryviii.txt        | 15913056   | 4445   | 5278   | 6162   | 11195  | 3515   | 10    
troilus_cressida.txt | 16134406   | 4258   | 5285   | 5853   | 11243  | 4119   | 9     
midsummer.txt        | 9666933    | 4811   | 5625   | 5959   | 11346  | 2914   | 9     
cymbeline.txt        | 17531433   | 4043   | 5180   | 5533   | 11150  | 4057   | 10    
lear.txt             | 16782019   | 5071   | 5485   | 6186   | 11481  | 4007   | 9     
cleopatra.txt        | 16959747   | 4686   | 5751   | 6467   | 34248  | 3782   | 9     
titus.txt            | 14760790   | 3407   | 4918   | 6023   | 25061  | 3306   | 9     
two_gentlemen.txt    | 12124928   | 2593   | 4287   | 6635   | 27877  | 2638   | 9     
________________________________________________________________________________
Moyen                | 23789795   | 10756  | 9658   | 7542   | 23352  | 3471   | 9     
Total                | 880222422  | 398006 | 357355 | 279055 | 864050 | 128440 | 344   
________________________________________________________________________________
